Call_ID,Caller_ID,Receiver_ID,Duration_Seconds,Call_Type,Call_Date,Call_Time,City
1,9255007333,9003820245,76,Local,02-01-2025,03:27:10,Mumbai
2,9389635340,9446411279,771,STD,10-01-2025,05:49:42,Hyderabad
3,9916254109,9437561871,831,STD,23-01-2025,04:25:37,Chennai
4,9077138036,9855520543,219,ISD,17-01-2025,15:49:23,Mumbai
5,9048304449,9443490133,467,STD,25-01-2025,11:45:26,Chennai
6,9405343920,9194791954,46,STD,04-01-2025,16:59:04,Hyderabad
7,9444163082,9654235322,154,ISD,15-01-2025,16:37:40,Bangalore
8,9626118914,9381895637,78,STD,07-01-2025,06:07:27,Mumbai
9,9524084157,9491679383,175,Local,18-01-2025,02:09:09,Chennai
10,9692516493,9287554846,373,Local,05-01-2025,05:35:50,Mumbai
11,9672487721,9912895187,238,Local,13-01-2025,22:33:54,Chennai
12,9495702929,9175792128,318,STD,25-01-2025,06:57:33,Mumbai
13,9514398017,9049148045,908,STD,27-01-2025,15:25:33,Hyderabad
14,9860469652,9404118063,653,STD,17-01-2025,21:47:35,Delhi
15,9265034968,9955076777,304,Local,29-01-2025,08:04:51,Chennai
16,9665122172,9134423537,385,Local,26-01-2025,17:18:07,Bangalore
17,9499593154,9366436395,715,Local,29-01-2025,09:03:51,Delhi
18,9812211932,9930827152,193,Local,05-01-2025,01:37:08,Chennai
19,9724136794,9111739536,800,ISD,10-01-2025,19:42:25,Bangalore
20,9127222410,9288972772,103,Local,13-01-2025,16:25:05,Mumbai
21,9083121402,9662506901,245,Local,24-01-2025,15:30:30,Bangalore
22,9722455755,9424552328,345,STD,08-01-2025,05:39:04,Chennai
23,9254295235,9758400434,317,Local,14-01-2025,06:14:19,Delhi
24,9034476553,9871891174,364,Local,10-01-2025,20:52:53,Mumbai
25,9726400026,9417577644,624,STD,12-01-2025,14:40:58,Mumbai
26,9882564004,9910002994,522,Local,21-01-2025,15:58:12,Bangalore
27,9316927921,9102575348,681,ISD,12-01-2025,20:50:46,Hyderabad
28,9125221748,9360323488,664,STD,13-01-2025,05:28:04,Hyderabad
29,9012411379,9447584123,63,Local,24-01-2025,07:56:02,Delhi
30,9249127452,9692960908,567,ISD,24-01-2025,02:49:12,Delhi
31,9475094295,9353811930,318,Local,07-01-2025,06:44:30,Delhi
32,9820969650,9351222996,636,STD,07-01-2025,22:16:29,Delhi
33,9239551572,9580455659,832,STD,21-01-2025,10:29:14,Chennai
34,9742401118,9140038238,753,STD,22-01-2025,21:13:18,Hyderabad
35,9739775687,9289719085,870,Local,19-01-2025,02:51:11,Hyderabad
36,9372573095,9987632519,136,ISD,23-01-2025,21:35:24,Hyderabad
37,9029801648,9936096134,367,STD,19-01-2025,04:08:03,Hyderabad
38,9722874278,9617638788,686,Local,31-01-2025,13:28:17,Mumbai
39,9347818205,9094204446,705,STD,19-01-2025,04:18:52,Bangalore
40,9107728639,9508711615,294,Local,28-01-2025,14:09:45,Delhi
41,9322362816,9826405103,93,STD,13-01-2025,18:06:35,Delhi
42,9252217528,9222707445,318,ISD,13-01-2025,06:21:35,Hyderabad
43,9135413962,9819248637,968,STD,30-01-2025,12:00:10,Hyderabad
44,9464764674,9799414193,15,STD,11-01-2025,22:16:41,Bangalore
45,9779860956,9516708710,541,ISD,24-01-2025,10:03:20,Mumbai
